Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Least Common Multiple,,,,21-09-2024 18:51:29,21-09-2024 18:51:30,0.824s,FAILED
,,,,,,,
Test Cases/Least Common Multiple/LCM Invalid Input,,,,21-09-2024 18:51:29,21-09-2024 18:51:30,0.265s,PASSED
calculatorTest = new org.example.CalculatorTest(),,,,21-09-2024 18:51:29,21-09-2024 18:51:29,0.011s,PASSED
calculatorTest.setUp(),,,,21-09-2024 18:51:29,21-09-2024 18:51:29,0.003s,PASSED
try,,,,21-09-2024 18:51:29,21-09-2024 18:51:29,0.021s,PASSED
calculatorTest.tearDown(),,,,21-09-2024 18:51:29,21-09-2024 18:51:29,0.001s,PASSED
,,,,,,,
Test Cases/Least Common Multiple/LCM One Positive And One Negative Number,,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.014s,FAILED
calculatorTest = new org.example.CalculatorTest(),,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.000s,PASSED
calculatorTest.setUp(),,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.001s,PASSED
try,,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.003s,FAILED
,,,,,,,
Test Cases/Least Common Multiple/LCM Two Equal Numbers,,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.014s,FAILED
calculatorTest = new org.example.CalculatorTest(),,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.000s,PASSED
calculatorTest.setUp(),,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.001s,PASSED
try,,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.002s,FAILED
,,,,,,,
Test Cases/Least Common Multiple/LCM Two Negative Numbers,,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.009s,FAILED
calculatorTest = new org.example.CalculatorTest(),,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.000s,PASSED
calculatorTest.setUp(),,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.001s,PASSED
try,,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.001s,FAILED
,,,,,,,
Test Cases/Least Common Multiple/LCM Two Positive Numbers,,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.009s,FAILED
calculatorTest = new org.example.CalculatorTest(),,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.000s,PASSED
calculatorTest.setUp(),,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.000s,PASSED
try,,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.001s,FAILED
,,,,,,,
Test Cases/Least Common Multiple/LCM With One Number Is Zero,,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.010s,FAILED
calculatorTest = new org.example.CalculatorTest(),,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.000s,PASSED
calculatorTest.setUp(),,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.001s,PASSED
try,,,,21-09-2024 18:51:30,21-09-2024 18:51:30,0.002s,FAILED
